"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"938",12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,"4"
"939",7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,"7"
"942",9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,"7"
"945",8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,"7"
"946",10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,"7"
"948",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"7"
"949",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7"
"950",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7"
"951",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7"
"952",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"7"
"953",8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,"7"
"954",10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,"7"
"959",6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,"7"
"967",9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,"7"
"975",8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,"7"
"979",7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,"7"
"1001",7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,"7"
"1002",9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,"7"
"1003",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,"7"
"1007",9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,"7"
"1008",9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,"7"
"1009",8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,"7"
"1011",8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,"7"
"1017",8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,"7"
"1025",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"7"
"1031",7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,"7"
"1032",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,"7"
"1036",10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,"7"
"1039",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,"7"
"1054",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,"7"
"1057",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"7"
"1059",9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,"7"
"1060",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"7"
"1062",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,"8"
"1067",6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,"7"
"1069",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"7"
"1071",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,"7"
"1076",9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,"7"
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,"7"
"1087",8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,"7"
"1089",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"7"
"1090",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"7"
"1091",10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,"8"
"1094",9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,"7"
"1112",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,"7"
"1121",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,"8"
"1125",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"4"
"1126",8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,"7"
"1133",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,"7"
"1134",7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,"7"
"1148",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,"7"
"1151",8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,"7"
"1157",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,"7"
"1158",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,"7"
"1161",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,"7"
"1163",8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,"7"
"1168",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"7"
"1177",6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"4"
"1178",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,"7"
"1190",8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,"4"
"1193",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,"7"
"1202",7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,"7"
"1205",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7"
"1206",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7"
"1207",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7"
"1209",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7"
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,"7"
"1234",10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,"4"
"1236",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"4"
"1240",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"4"
"1262",6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,"4"
"1264",8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,"4"
"1270",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,"8"
"1277",8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"4"
"1280",9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,"7"
"1294",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,"4"
"1300",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"3"
"1308",6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,"4"
"1324",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,"7"
"1364",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"4"
"1370",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"4"
"1375",6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,"3"
"1399",7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,"7"
"1418",7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,"7"
"1434",6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,"7"
"1441",7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,"7"
"1450",7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,"8"
"1452",7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,"7"
"1453",6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,"7"
"1460",7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,"7"
"1467",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,"7"
"1468",6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"4"
"1469",7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,"7"
"1470",7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,"3"
"1476",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,"7"
"1478",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,"7"
"1479",7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,"3"
"1481",5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,"4"
"1483",7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"4"
"1485",6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,"4"
"1495",6.4,0.31,0.09,1.4,0.066,15,28,0.99459,3.42,0.7,10,"7"
"1506",6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,"3"
"1522",6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,"4"
"1535",6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,"7"
"1542",7.4,0.25,0.29,2.2,0.054,19,49,0.99666,3.4,0.76,10.9,"7"
"1545",8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,"7"
"1550",7.4,0.36,0.3,1.8,0.074,17,24,0.99419,3.24,0.7,11.4,"8"
"1556",7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,"7"
"363",11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,"5"
"483",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,"5"
"995",10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,"5"
"223",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,"5"
"1357",6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,"5"
"44",8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,"5"
"934",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,"5"
"1051",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,"5"
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"5"
"11",6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,"5"
"76",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,"5"
"1185",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,"5"
"91",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,"5"
"1421",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,"5"
"760",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,"5"
"886",8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,"5"
"693",8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,"5"
"516",8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,"5"
"1471",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,"5"
"797",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,"5"
"1554",7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,"5"
"1582",6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,"5"
"132",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,"5"
"423",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,"5"
"522",7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,"5"
"1598",5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,"5"
"1233",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,"5"
"1232",7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,"5"
"1524",6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,"5"
"448",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,"5"
"1247",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,"5"
"176",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,"5"
"484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,"5"
"644",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,"5"
"1079",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,"5"
"770",7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,"5"
"748",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,"5"
"732",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,"5"
"48",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,"5"
"41",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,"5"
"1569",7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,"5"
"15",8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,"5"
"24",8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,"5"
"666",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,"5"
"1454",7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,"5"
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,"5"
"1548",6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,"5"
"412",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,"5"
"635",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,"5"
"792",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,"5"
"1350",6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,"5"
"543",9.3,0.715,0.24,2.1,0.07,5,20,0.9966,3.12,0.59,9.9,"5"
"1038",7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,"5"
"182",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,"5"
"296",10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,"5"
"684",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,"5"
"1257",7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,"5"
"533",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,"5"
"1332",7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,"5"
"968",8.5,0.66,0.2,2.1,0.097,23,113,0.99733,3.13,0.48,9.2,"5"
"680",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,"5"
"825",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,"5"
"1482",8.2,0.28,0.6,3,0.104,10,22,0.99828,3.39,0.68,10.6,"5"
"75",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,"5"
"400",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,"5"
